Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,BB_Middle,BB_Upper,BB_Lower
2009-01-02,2.721686363220215,2.730384564060046,2.554037226218475,2.5756304672583537,746015200,,,,2.721686363220215,2.721686363220215,0.0,0.0,,,
2009-01-05,2.836552858352661,2.8845386270494378,2.7804693222595778,2.79426571877622,1181608400,,,,2.7393581317021294,2.730194992489285,0.009163139212844396,0.0018326278425688791,,,
2009-01-06,2.789766788482666,2.914229252603177,2.7708724008265406,2.877640546798946,1289310400,,,,2.7471133096683658,2.7346077181184247,0.01250559154994102,0.003967220584043307,,,
2009-01-07,2.7294838428497314,2.774170305556812,2.7069904526804853,2.7534772194820034,753048800,,,,2.7444010840039605,2.7342281718022257,0.010172912201734885,0.005208358907581623,,,
2009-01-08,2.7801692485809326,2.793665726055566,2.7003930560001206,2.7120900298397097,673500800,,,,2.749903878554264,2.737631214526574,0.012272664027690006,0.0066212199316033,,,
2009-01-09,2.7165889739990234,2.8005640264937397,2.703393211800058,2.795465832185914,546845600,,,,2.7447785086226886,2.736072530043052,0.008705978579636398,0.0070381716612099195,,,
2009-01-12,2.659006834030152,2.7288857765895536,2.625716607902898,2.712990156603704,617716400,,,,2.731582866377683,2.7303639599680225,0.0012189064096603808,0.005874318610900012,,,
2009-01-13,2.6305136680603027,2.691395462126428,2.589726327697364,2.646409280691181,798397600,,,,2.71603375894424,2.722967642048932,-0.006933883104692118,0.003312678267781586,,,
2009-01-14,2.5591349601745605,2.6167174643595703,2.540840210080983,2.586426826388225,1021664000,,,,2.691895482210443,2.7108318878360156,-0.01893640562557275,-0.0011371385108892812,,,
2009-01-15,2.5006520748138428,2.522845744932796,2.400782261078231,2.4163773531078525,1831634000,,,,2.662473419534043,2.6952630127973363,-0.03278959326329334,-0.007467629461370093,,,
2009-01-16,2.469162702560425,2.5306441531327795,2.411280460137487,2.5282450147195594,1047625600,,,,2.6327333092304093,2.678514841668676,-0.04578153243826666,-0.015130410056749408,,,
2009-01-20,2.345299482345581,2.459265255971349,2.345299482345581,2.4571658348236154,919914800,,,,2.5885127204788976,2.653832222459558,-0.06531950198066028,-0.025168228441531583,,,
2009-01-21,2.4841578006744385,2.485657587304835,2.3785895195590543,2.380988657616996,1089270000,,,,2.5724581174320575,2.641263746771771,-0.06880562933971346,-0.03389570862116796,,,
2009-01-22,2.6500084400177,2.699194277354555,2.573831446739748,2.640411686902462,1409528400,,,46.4592991169653,2.584388936291387,2.641911501827025,-0.05752256553563795,-0.03862108000406196,,,
2009-01-23,2.6500084400177,2.6952951521815165,2.594225623248156,2.603822176151575,763770000,,,46.4592991169653,2.594484244556974,2.6425112750263344,-0.04802703046936063,-0.0405022700971217,,,
